PURPOSE Field,PURPOSE FIELD DIRECTOR ,NumberOfDups
MILITARY & VETERANS CASEWORKER,MILITARY AND VETERANS CASEWORKER  ,2
MILITARY AND VETERAN’S LIAISON,MILITARY AND VETERAN'S LIAISON  ,2
MILITARY CASEWORKER,MILITARY CASEWORKER  ,2
"MIN CNS, ECON DEV, PB & EM SUB","MINORITY CNS, ECONOMIC DEVELOPMENT, PB AND EM SUBCOMMITTEE  ",2
MIN DISTINGUISHED PROF STF MEM,MINORITY DISTINGUISHEDUCATION PROFESSIONAL STAFF MEMBER  ,2
MIN LEG STF ASST-EC AND DEV & RAIL,MINORITY LEGISLATIVE STAFF ASSISTANT-EC/DEV AND RAIL  ,2
"MIN LEGIS STAF ASST, COAST GRD","MINORITY LEGISLATIVE STAFF ASSISTANT, COAST GUARD  ",2
"MIN. LEG ASST, WATER & POWER","MINORITY LEGISLATIVE ASSISTANT, WATER AND POWER  ",2
"MIN. STF DIR, ENERGY & MINERAL","MINORITY STAFF DIRECTOR, ENERGY AND MINERAL  ",2
"MIN. STF DIR,SUB ON RAIL,PL,HZ","MINORITY STAFF DIRECTOR,SUBCOMMITTEE ON RAIL,PL,HZ  ",2
MIN-CHIEF OVERSIGHT COUNSEL,MINORITY-CHIEF OVERSIGHT COUNSEL  ,2
MINORITY - PROF STAFF - WATER,MINORITY - PROFESSIONAL STAFF - WATER  ,2
MINORITY BUDGET ANALYST,MINORITY BUDGET ANALYST  ,2
MINORITY COMMUNICATIONS DIRECT,MINORITY COMMUNICATIONS DIRECTOR  ,2
MINORITY COUNSEL,MINORITY COUNSEL  ,2
MINORITY- COUNSEL - WATER,MINORITY- COUNSEL - WATER  ,2
"MINORITY COUNSEL, RAILROADS","MINORITY COUNSEL, RAILROADS  ",2
MINORITY COUNSEL AND HIGHWAYS,MINORITY COUNSEL/HIGHWAYS  ,2
MINORITY DEPUTY STAFF DIRECTOR,MINORITY DEPUTY STAFF DIRECTOR  ,2
MINORITY POLICY DIRECTOR,MINORITY POLICY DIRECTOR  ,2
MINORITY RESEARCH ASSISTANT,MINORITY RESEARCH ASSISTANT  ,2
MINORITY STAFF ASSISTANT (P),MINORITY STAFF ASSISTANT   ,2
MINORITY-PRO STAFF-COAST GUARD,MINORITY-PROFESSIONAL STAFF-COAST GUARD  ,2
MINORITY-PROF STAFF-AVIATION,MINORITY-PROFESSIONAL STAFF-AVIATION  ,2
MINORITY-SR LEGISLATIVE ASST,MINORITY-SENIOR LEGISLATIVE ASSISTANT  ,2
MINORITY-STAFF DIR.-HIGHWAYS,MINORITY-STAFF DIRECTOR-HIGHWAYS  ,2
MINORITY-STAFF DIR-COAST GUARD,MINORITY-STAFF DIRECTOR-COAST GUARD  ,2
"MINORITY-STAFF DIR-ED, PB & EM","MINORITY-STAFF DIRECTOR-ED, PB AND EM  ",2
MIN-STAFF DIR & COUNS-AVIATION,MINORITY-STAFF DIRECTOR AND COUNS-AVIATION  ,2
MIN-STAFF DIR-WATER RESOURCES,MINORITY-STAFF DIRECTOR-WATER RESOURCES  ,2
MOBILE COMM SPEC - TELEPHONY,MOBILE COMMUNICATION SPECIALIST - TELEPHONY  ,2
MOBILE COMM SPECIALIST (DATA),MOBILE COMMUNICATION SPECIALIST (DATA)  ,2
N Y CHIEF OF STAFF,N Y CHIEF OF STAFF  ,2
NATIONAL TRIP DIRECTOR,NATIONAL TRIP DIRECTOR  ,2
NDC PRESS SECRETARY,NDC PRESS SECRETARY  ,2
NETWORK ADMINISTRATOR,NETWORK ADMINISTRATOR  ,2
NETWORK COMM SPECIALIST (A),NETWORK COMMUNICATION SPECIALIST   ,2
NETWORK COORDINATOR (A),NETWORK COORDINATOR   ,2
NETWORK ENG & CONF BRANCH MGR,NETWORK ENG AND CONF BRANCH MANAGER  ,2
NETWORK OPER BRANCH MGR,NETWORK OPER BRANCH MANAGER  ,2
NETWORK SECURITY OP SPECIALIST,NETWORK SECURITY OPERATIONS SPECIALIST  ,2
NETWORK TECHNICIAN (A),NETWORK TECHNICIAN   ,2
NEW JERSEY DIRECTOR,NEW JERSEY DIRECTOR  ,2
NEW MEDIA COORDINATOR,NEW MEDIA COORDINATOR  ,2
NEW YORK CHIEF OF STAFF,NEW YORK CHIEF OF STAFF  ,2
NORTHEAST AREA DIRECTOR,NORTHEAST AREA DIRECTOR  ,2
NORTHERN SI OFFICE DIRECTOR,NORTHERN SI OFFICE DIRECTOR  ,2
OFFICE ADMINISTRATOR AND COUNSEL,OFFICE ADMINISTRATOR/COUNSEL  ,2
OFFICE AND PRODUCTION ASSIST,OFFICE AND PRODUCTION ASSISTANT  ,2
OFFICE ASSISTANT (C),OFFICE ASSISTANT   ,2
OFFICE LIAISON,OFFICE LIAISON  ,2
OFFICE MANAGER - ATHENS,OFFICE MANAGER - ATHENS  ,2
OFFICE MANAGER AND LA,OFFICE MANAGER / LEGISLATIVE ASSISTANT  ,2
"OFFICE MANAGER, L.C.","OFFICE MANAGER, LEGISLATIVE CORRESPONDENT  ",2
OFFICE MANAGER AND CLERK,OFFICE MANAGER/CLERK  ,2
OFFICE MANAGER AND EXECUTIVE ASST,OFFICE MANAGER/EXECUTIVE ASSISTANT  ,2
OFFICE MANAGER AND LEG AIDE,OFFICE MANAGER/LEGISLATIVE AIDE  ,2
OFFICE MANAGER AND LEGIS ASST,OFFICE MANAGER/LEGISLATIVE ASSISTANT  ,2
OFFICE MANAGER AND STAFF ASSIST.,OFFICE MANAGER/STAFF ASSISTANT  ,2
OFFICE MANAGER AND STAFF ASSISTANT,OFFICE MANAGER/STAFF ASSISTANT  ,2
OFFICE MANAGER-CASEWORKER,OFFICE MANAGER-CASEWORKER  ,2
OFFICE MANAGER-DISTRICT,OFFICE MANAGER-DISTRICT  ,2
OFFICE MANAGER-IT MANAGER,OFFICE MANAGER-INFORMATION TECHNOLOGYMANAGER  ,2
OFFICE MGR AND ASST TO COS,OFFICE MANAGER/ASSISTANT TO CHIEF OF STAFF  ,2
OFFICE MGR AND COMNTY REL ASST,OFFICE MANAGER/COMNTY REL ASSISTANT  ,2
OFFICE MGR AND EX ASST TO STAF DIR,OFFICE MANAGER/EXECUTIVE ASSISTANT TO STAFF DIRECTOR  ,2
OFFICE MGR AND FINANCIAL ADMIN,OFFICE MANAGER/FINANCIAL ADMINISTRATIVE  ,2
OFFICE MGR AND SR SS AND MEDICARE ADV,OFFICE MANAGER/SENIOR SOCIAL SECURITY/MEDICARE ADVISOR  ,2
OFFICE MNGR AND CONST SVCS LIAISON,OFFICE MNGR/CONSTITUENT SERVICES LIAISON  ,2
OFFICE AND CASE MANAGER,OFFICE/CASE MANAGER  ,2
ONLINE MEDIA COORDINATOR,ONLINE MEDIA COORDINATOR  ,2
ONLINE OUTREACH SPECIALIST,ONLINE OUTREACH SPECIALIST  ,2
OPERATIONS ASSISTANT (OVERTIME),OPERATIONS ASSISTANT   ,2
OPERATIONS MANAGER,OPERATIONS MANAGER  ,2
OPS DIR & ASST TO CHF OF STAFF,OPS DIRECTOR AND ASSISTANT TO CHIEF OF STAFF  ,2
ORANGE OFFICE - FIELD REP,ORANGE OFFICE - FIELD DIRECTOR REPRESENTATIVE  ,2
ORLANDO AREA DIRECTOR,ORLANDO AREA DIRECTOR  ,2
OUTREACH,OUTREACH  ,2
OUTREACH AIDE,OUTREACH AIDE  ,2
OUTREACH AND GRANTS MANAGER,OUTREACH AND GRANTS MANAGER  ,2
OUTREACH ASSISTANT,OUTREACH ASSISTANT  ,2
OUTREACH COORD AND CONSTIT ADVOCAT,OUTREACH COORDINATOR/CONSTITUENT ADVOCAT  ,2
OUTREACH COORDINAT AND PRESS ASST,OUTREACH COORDINAT/PRESS ASSISTANT  ,2
OUTREACH COORDINATOR AND FIN MGR,OUTREACH COORDINATOR/FINANCES MANAGER  ,2
OUTREACH DIRECTOR (OTHER COMPENSATION),OUTREACH DIRECTOR   ,2
OUTREACH LIAISON,OUTREACH LIAISON  ,2
OUTREACH MANAGER,OUTREACH MANAGER  ,2
OVERSIGHT INVES COUNSEL,OVERSIGHT INVESTIGATIONS COUNSEL  ,2
OVERTIME COMPENSATION,OVERTIME COMPENSATION  ,2
PARLIAMENTARY COUNSEL,PARLIAMENTARY COUNSEL  ,2
PART-TIME ACCOUNT MANAGER,PART-TIME ACCOUNT MANAGER  ,2
PART-TIME CASEWORKER,PART-TIME CASEWORKER  ,2
PART-TIME EMPLOYEE..,PART-TIME EMPLOYEE,2
PEE DEE AREA DIRECTOR,PEE DEE AREA DIRECTOR  ,2
PERSONAL SECRETARY,PERSONAL SECRETARY  ,2
PERSONAL SECRETARY AND EXEC ASST,PERSONAL SECRETARY/EXECUTIVE ASSISTANT  ,2
PHOTOGRAPHIC LAB TECH,PHOTOGRAPHIC LAB TECHNICAL  ,2
PLANNING MANAGER,PLANNING MANAGER  ,2
"PLCY ADV,PNW NTRL RSRCS ISSUES","POLICY ADVISOR,PNW NATURAL RESOURCES ISSUES  ",2
POLICY ADV. FOR SC W.F. PROT.,POLICY ADVISOR FOR SUBCOMMITTEE W.F. PROT.  ,2
POLICY ADVISOR AND DEPUTY SCHEDULE,POLICY ADVISOR/DEPUTY SCHEDULE  ,2
POLICY ADVISOR AND SUB ON HIGH EDU,POLICY ADVISOR/SUBCOMMITTEE ON HIGH EDUCATION  ,2
POLICY ADVISOR AND SUB ON HLTH FAM,POLICY ADVISOR/SUBCOMMITTEE ON HEALTH FAMILIES  ,2
POLICY AIDE,POLICY AIDE  ,2
"POLICY DIR,COMM,TECH & INTERNE","POLICY DIRECTOR,COMM,TECHNICAL AND INTERNET ",2
POLICY DIRECTOR (P),POLICY DIRECTOR   ,2
"POLICY DIRECTOR, HOUSING","POLICY DIRECTOR, HOUSING  ",2
POLICY REPRESENTATIVE,POLICY REPRESENTATIVE  ,2
PRESS AIDE,PRESS AIDE  ,2
PRESS AND RESEARCH ASSISTANT,PRESS AND RESEARCH ASSISTANT  ,2
PRESS ASSISTANT (OTHER COMPENSATION),PRESS ASSISTANT   ,2
PRESS ASSISTANT AND LEGIS ASST,PRESS ASSISTANT/LEGISLATIVE ASSISTANT  ,2
PRESS ASSISTANT AND SCHEDULER,PRESS ASSISTANT/SCHEDULER  ,2
PRESS DEPUTY,PRESS DEPUTY  ,2
PRESS DIRECTOR,PRESS DIRECTOR  ,2
PRESS SCTY AND DEP. COS,PRESS SECRETARY/DEPUTY CHIEF OF STAFF  ,2
PRESS SECRETARY & ONLINE STRAT,PRESS SECRETARY AND ONLINE STRAT  ,2
PRESS SECRETARY AND COMMUNICATIONS,PRESS SECRETARY/COMMUNICATIONS  ,2
PRESS SECRETARY AND LEGIS ASST,PRESS SECRETARY/LEGISLATIVE ASSISTANT  ,2
PRESS SECRETARY AND SCHEDULER,PRESS SECRETARY/SCHEDULER  ,2
"PRESS SECTY, LEGIS CORRES","PRESS SECRETARY, LEGISLATIVE CORRESPONDENT  ",2
PRESS AND FIELD ASST,PRESS/FIELD DIRECTOR ASSISTANT  ,2
PRESS AND NEW MEDIA,PRESS/NEW MEDIA  ,2
PRINCE WILLIAM DIRECTOR,PRINCE WILLIAM DIRECTOR  ,2
PRINCIPAL PHOTOGRAPHER,PRINCIPAL PHOTOGRAPHER  ,2
PRINTING MANAGER,PRINTING MANAGER  ,2
"PRO STAFF MBR, DISABILITY ASST","PROFESSIONAL STAFF MEMBER, DISABILITY ASSISTANT  ",2
PROCESS IMPROVEMENT SPECIALIST,PROCESS IMPROVEMENT SPECIALIST  ,2
PROCUREMENT SUPPORT ADMINISTRA,PROCUREMENT SUPPORT ADMINISTRATOR  ,2
PROCUREMENT SUPPORT ADMINISTRA (OVERTIME),PROCUREMENT SUPPORT ADMINISTRATOR   ,2
PRODUCTION OPERATIONS MANAGER,PRODUCTION OPERATIONS MANAGER  ,2
"PROF STAFF MBR, ECONOMIC OPP.","PROFESSIONAL STAFF MEMBER, ECONOMIC OPPORTUNITY  ",2
"PROF STAFF MEMBER, AVIATION","PROFESSIONAL STAFF MEMBER, AVIATION  ",2
"PROF STAFF MEMBER,OVERSIGHT","PROFESSIONAL STAFF MEMBER,OVERSIGHT  ",2
PROF STAFF MEMBER AND PRESS SEC,PROFESSIONAL STAFF MEMBER/PRESS SECRETARY  ,2
PROF STAFF MEMBER-HEALTH,PROFESSIONAL STAFF MEMBER-HEALTH  ,2
PROF STAFF AND SC ON INV. & OSIGHT,PROFESSIONAL STAFF/SUBCOMMITTEE ON INVESTIGATION AND OVERSIGHT ,2
PROF STAFF AND -SC ON SPACE & AERO,PROFESSIONAL STAFF/-SUBCOMMITTEE ON SPACE AND AERO  ,2
PROF STAFF-AVIATION SUB-SHARED,PROFESSIONAL STAFF-AVIATION SUB-SHARED ,2
PROF STAFF-SC ON TECH & INNOV,PROFESSIONAL STAFF-SUBCOMMITTEE ON TECHNICAL AND INNOVATION  ,2
PROF STF MEM FOR INTERPARL AFR,PROFESSIONAL STAFF MEMBER FOR INTERPARLIAMENTARY AFFAIRS  ,2
PROF. ASST AND SC RESEARCH-EDUCATI,PROFESSIONAL ASSISTANT/SC RESEARCH-EDUCATION  ,2
PROF. STAFF MBR AND LEGISL COUNSEL,PROFESSIONAL STAFF MEMBER/LEGISLATIVE COUNSEL  ,2
PROF. STAFF AND S.C. ON E&E,PROFESSIONAL STAFF/SUBCOMMITTEE ON ENERGY AND ENVIRONMENT  ,2
PROF. STAFF AND S.C. ON TECH&INNOV,PROFESSIONAL STAFF/SUBCOMMITTEE ON TECHNOLOGY AND INNOVATION  ,2
PROF. STAFF-SHARED- H & T SUB.,PROFESSIONAL STAFF-SHARED- H AND T SUBCOMMITTEE  ,2
PROFESSIONAL STAFF - HIGHWAYS,PROFESSIONAL STAFF - HIGHWAYS  ,2
PROFESSIONAL STAFF MBR (OTHER COMPENSATION),PROFESSIONAL STAFF MEMBER   ,2
"PROFESSIONAL STAFF MEM, HEALTH","PROFESSIONAL STAFF MEMBER, HEALTH  ",2
PROFESSIONAL STAFF MEMBER (C),PROFESSIONAL STAFF MEMBER   ,2
PROFESSIONAL STAFF MEMBER AND MINO,PROFESSIONAL STAFF MEMBER/MINO  ,2
"PROFESSIONAL STAFF, S.C ON T&I","PROFESSIONAL STAFF, SUBCOMMITTEE ON TRANSPORTATION AND INFRASTRUCTURE  ",2
PROFESSIONAL STAFF AND ENERGY S.C.,PROFESSIONAL STAFF/ENERGY SUBCOMMITTEE  ,2
PROFESSIONAL STAFFER,PROFESSIONAL STAFFER  ,2
PROFESSIONAL STAFF-MINORITY,PROFESSIONAL STAFF-MINORITY  ,2
PROFESSIONAL STAFF-SPACE SC,PROFESSIONAL STAFF-SPACE SUBCOMMITTEE  ,2
PROGRAM ASST (WOUNDED WAR. PR),PROGRAM ASSISTANT (WOUNDED WAR. PR)  ,2
PROGRAM MGR (OPERATIONS),PROGRAM MANAGER (OPERATIONS)  ,2
PROGRAM MGR (POLICY COUNSEL),PROGRAM MANAGER (POLICY COUNSEL)  ,2
PROJECT DIRECTOR,PROJECT DIRECTOR  ,2
PROJECTS DIR AND OFFICE MGR,PROJECTS DIRECTOR/OFFICE MANAGER  ,2
PROJECTS AND LEGISLATIVE ASST,PROJECTS/LEGISLATIVE ASSISTANT  ,2
PRO-LIFE CAUCUS,PRO-LIFE CAUCUS  ,2
PT IMMIGRATION ARD,PT IMMIGRATION ARD  ,2
PUBLIC INFO SPECIALIST (A) (OVERTIME),PUBLIC INFORMATION SPECIALIST    ,2
PUBLIC INFORMATION OFFICER,PUBLIC INFORMATION OFFICER  ,2
PUBLIC POLICY AND PRESS,PUBLIC POLICY/PRESS  ,2
PUBLICATIONS CLERK,PUBLICATIONS CLERK  ,2
QUALITY ASSURANCE MANAGER,QUALITY ASSURANCE MANAGER  ,2
READING CLERK (OVERTIME),READING CLERK   ,2
RECEIVING AND WAREHOUSE SPEC (A),RECEIVING/WAREHOUSE SPECIALIST   ,2
RECEIVING AND WAREHOUSE SPECIALIST,RECEIVING/WAREHOUSE SPECIALIST  ,2
RECEPT AND SYS SPECIALIST,RECEPT/SYSTEMS SPECIALIST  ,2
RECEPTIONIST AND CASEWORKER (OVERTIME),RECEPTIONIST/CASEWORKER   ,2
RECEPTIONIST AND STAFF ASSISTANT,RECEPTIONIST/STAFF ASSISTANT  ,2
RECEPTIONIST AND STAFF ASST,RECEPTIONIST/STAFF ASSISTANT  ,2
RECEPTIONIST-CASE WORKER,RECEPTIONIST-CASE WORKER  ,2
RECORDS MANAGEMENT SPECIALIST,RECORDS MANAGEMENT SPECIALIST  ,2
REGIONAL CASEWORK DIRECTOR,REGIONAL CASEWORK DIRECTOR  ,2
REGIONAL COORDINATOR,REGIONAL COORDINATOR  ,2
REGIONAL DIRECTOR AND VA REP,REGIONAL DIRECTOR/VA REPRESENTATIVE  ,2
REGIONAL MANAGER,REGIONAL MANAGER  ,2
REGIONAL OUTREACH COORDINATOR,REGIONAL OUTREACH COORDINATOR  ,2
REGISTRAR,REGISTRAR  ,2
REGULATORY COUNSEL,REGULATORY COUNSEL  ,2
REP CHF OF STF AND GENERAL COUNSEL,REPRESENTATIVE CHIEF OF STAFF/GENERAL COUNSEL  ,2
REP DEP CHF OF STF AND PARLIAMENT,REPRESENTATIVE DEPUTY CHIEF OF STAFF/PARLIAMENT  ,2
REP DEP CHF OF STF AND POLICY DIR,REPRESENTATIVE DEPUTY CHIEF OF STAFF/POLICY DIRECTOR  ,2
REP DIR OF OUTREACH & SR ADVSR,REPRESENTATIVE DIRECTOR OF OUTREACH AND SENIOR ADVSENIOR  ,2
"REP DP STF DIR&STF DIR,SBCM OV","REPRESENTATIVE DEPUTY STAFF DIRECTOR AND STAFF DIRECTOR,SUBCOMMITTEE OVERSIGHT  ",2
"REP STAFF DIR,DAMA,PRESS DIR","REPRESENTATIVE STAFF DIRECTOR,DAMA,PRESS DIRECTOR  ",2
REP. RANKING MBR SHARED STAFF,REPRESENTATIVE RANKING MEMBER SHARED STAFF  ,2
REP. SR POLICY ADVISOR & DIR,REPRESENTATIVE SENIOR POLICY ADVISOR AND DIRECTOR  ,2
REPUB CHIEF COUNSEL FOR POLICY,REPUBLICAN CHIEF COUNSEL FOR POLICY  ,2
REPUB CHIEF OF STAFFSHRD STAFF,REPUBLICAN CHIEF OF STAFFSHRD STAFF  ,2
REPUB POLICY ANALYST AND ADMIN OFF,REPUBLICAN POLICY ANALYST/ADMINISTRATIVE OFF  ,2
REPUB PROF STAFF MBR-SPEECHWRI,REPUBLICAN PROFESSIONAL STAFF MEMBER-SPEECHWRI TER ,2
REPUB PROF STAFF MEM AND COUNSEL,REPUBLICAN PROFESSIONAL STAFF MEMBER/COUNSEL  ,2
"REPUB PROF STAFF MEMBER,H","REPUBLICAN PROFESSIONAL STAFF MEMBER,H  ",2
REPUB SR COUNSEL AND PROFSTAFF MEM,REPUBLICAN SENIOR COUNSEL/PROFESSIONAL STAFF MEMBER  ,2
REPUB SR POL ADV-SHARED STAFF,REPUBLICAN SENIOR POLICY ADVISOR-SHARED STAFF  ,2
REPUB STAFF DIRECTOR AND CHIEF COU,REPUBLICAN STAFF DIRECTOR/CHIEF COUNSEL ,2
"REPUB STAFF, DIR FRANKING COMM","REPUBLICAN STAFF, DIRECTOR FRANKING COMMUNICATION  ",2
REPUBLICAN COMMITTEE CLERK,REPUBLICAN COMMITTEE CLERK  ,2
REPUBLICAN DEPUTY COUNSEL,REPUBLICAN DEPUTY COUNSEL  ,2
REPUBLICAN DEPUTY PRESS SECRET,REPUBLICAN DEPUTY PRESS SECRETARY ,2
REPUBLICAN DIR. OF COMMUNIACTI,REPUBLICAN DIRECTOR OF COMMUNIACTIONS  ,2
REPUBLICAN EXEC ASST.,REPUBLICAN EXECUTIVE ASSISTANT  ,2
REPUBLICAN EXECUTIVE ASST.,REPUBLICAN EXECUTIVE ASSISTANT  ,2
REPUBLICAN GENERAL COUNSEL,REPUBLICAN GENERAL COUNSEL  ,2
REPUBLICAN JR. PROF STAFF MMBR,REPUBLICAN JUNIOR PROFESSIONAL STAFF MMBR  ,2
REPUBLICAN LEG CLK AND ADM ASST,REPUBLICAN LEGISLATIVE CLERK/ADMINISTRATIVE ASSISTANT  ,2
REPUBLICAN LEGISLATIVE DIRECTO,REPUBLICAN LEGISLATIVE DIRECTOR ,2
REPUBLICAN NEW MEDIA COORDINAT,REPUBLICAN NEW MEDIA COORDINATOR  ,2
REPUBLICAN SENIOR COUNSEL,REPUBLICAN SENIOR COUNSEL  ,2
REPUBLICAN SENIOR STAFF ASST,REPUBLICAN SENIOR STAFF ASSISTANT  ,2
REPUBLICAN STAFF ASST,REPUBLICAN STAFF ASSISTANT  ,2
"REPUBLICAN STAFF DIR, EO","REPUBLICAN STAFF DIRECTOR, EO  ",2
"REPUBLICAN STAFF DIR, HEALTH","REPUBLICAN STAFF DIRECTOR, HEALTH  ",2
RESEARCH ANALYST FOR VICE CHR,RESEARCH ANALYST FOR VICE CHAIR  ,2
RESEARCH ASSIST AND SCI & ED S.C.,RESEARCH ASSISTANT/SCIENCE AND EDUCATION SUBCOMMITTEE  ,2
RESEARCH ASST & SYS ADMIN,RESEARCH ASSISTANT AND SYSTEMS ADMINISTRATOR  ,2
RESEARCH ASST SPACE S.C.,RESEARCH ASSISTANT SPACE SUBCOMMITTEE  ,2
RESOURCE CMTE STAFF DIRECTOR,RESOURCE COMMITTEE STAFF DIRECTOR  ,2
RESOURCE SPECIALIST,RESOURCE SPECIALIST  ,2
RESRCH AST. AND S.C. ON TECH AND INNOV,RESEARCH  ASSISTANT/SUBCOMMITTEE ON TECHNOLOGY/INNOVATION  ,2
RHODE ISLAND CHIEF OF STAFF,RHODE ISLAND CHIEF OF STAFF  ,2
RULES ASSOCIATE,RULES ASSOCIATE  ,2
RULES ASSOCIATE AND SR LEG ASST,RULES ASSOCIATE/SENIOR LEGISLATIVE ASSISTANT  ,2
RURAL OUTREACH COORDINATOR,RURAL OUTREACH COORDINATOR  ,2
RURAL REPRESENTATIVE,RURAL REPRESENTATIVE  ,2
SCHED AND DIR OF SPECIAL EVENT,SCHEDUCATION AND DIRECTOR OF SPECIAL EVENT  ,2
SCHEDULER AND POLICY ANALYST,SCHEDULER AND POLICY ANALYST  ,2
SCHEDULER AND ADMINISTRATIVE ASST,SCHEDULER/ADMINISTRATIVE ASSISTANT  ,2
SCHEDULER AND ASSISTANT DISTRICT,SCHEDULER/ASSISTANT DISTRICT  ,2
SCHEDULER AND DIR OF OPERATIONS,SCHEDULER/DIRECTOR OF OPERATIONS  ,2
SCHEDULER AND EXEC ASST AND OFC MANAGE,SCHEDULER/EXECUTIVE ASSISTANT/OFFICE MANAGE  ,2
SCHEDULER AND EXECUTIVE ASST-DIST,SCHEDULER/EXECUTIVE ASSISTANT-DISTRICT  ,2
SCHEDULER AND EXECUTIVE SECRETARY,SCHEDULER/EXECUTIVE SECRETARY  ,2
SCHEDULER AND FINANCE DIRECTOR,SCHEDULER/FINANCE DIRECTOR  ,2
SCHEDULER AND OFFICE ADMINISTRATIO,SCHEDULER/OFFICE ADMINISTRATION  ,2
SCHEDULER AND OFFICE MGR AND SYS ADMIN,SCHEDULER/OFFICE MANAGER/SYSTEMS ADMINISTRATOR  ,2
SCHEDULER AND OPS COORDINATOR,SCHEDULER/OPERATIONS COORDINATOR  ,2
SCHEDULER AND OPS COORDINATOR (OVERTIME),SCHEDULER/OPERATIONS COORDINATOR   ,2
SCHEDULER AND RECEPTIONIST,SCHEDULER/RECEPTIONIST  ,2
SCHEDULER AND STAFF ASSISTANT,SCHEDULER/STAFF ASSISTANT  ,2
SCHEDULING,SCHEDULER ,2
SCHEDULING (OVERTIME),SCHEDULER   ,2
SCHEDULING ASST AND STAFF ASST,SCHEDULER ASSISTANT/STAFF ASSISTANT  ,2
SCHEDULING ASST AND STAFF ASST (OVERTIME),SCHEDULER ASSISTANT/STAFF ASSISTANT   ,2
SCHEDULING COORDINATOR,SCHEDULING COORDINATOR  ,2
SCHEDULING DIR & FINANCIAL DIR,SCHEDULING DIRECTOR AND FINANCIAL DIRECTOR  ,2
SCIENCE COMMITTEE DESIGNEE,SCIENCE COMMITTEE DESIGNEE  ,2
SECOND ASSISTANT,SECOND ASSISTANT  ,2
SECRETARY AND RECEPTIONIST,SECRETARY/RECEPTIONIST  ,2
SECURITY ENGINEER,SECURITY ENGINEER  ,2
SECURITY INFORMATION OFFICER,SECURITY INFORMATION OFFICER  ,2
SEN POL ADV FOR EC DEV AND EMP,SEN POLICY ADVISOR FOR ECONOMIC DEVELOPMENT AND EMP  ,2
"SEN. COUNSEL - ED, PB & EM S.C","SENIOR COUNSEL - EDUCATION, PB AND EM SUBCOMMITTEE",2
SEN. COUNSEL - I & O,SENIOR COUNSEL - INVESTIGATION AND OVERSIGHT  ,2
SEN. PROFESSIONAL STAFF - I&O,SENIOR PROFESSIONAL STAFF - INVESTIGATION AND OVERSIGHT  ,2
SENIOR ADMIN STAFF ASSISTANT,SENIOR ADMINISTRATIVE STAFF ASSISTANT  ,2
SENIOR ADVISER (P),SENIOR ADVISER   ,2
SENIOR ADVISOR (OTHER COMPENSATION),SENIOR ADVISOR   ,2
SENIOR ADVISOR ON HEALTH POLIC,SENIOR ADVISOR ON HEALTH POLICY  ,2
SENIOR AUDIO SPECIALIST,SENIOR AUDIO SPECIALIST  ,2
SENIOR BENEFITS SPECIALIST,SENIOR BENEFITS SPECIALIST  ,2
SENIOR BUDGET REVIEW SPEC,SENIOR BUDGET REVIEW SPECIALIST  ,2
SENIOR CASE WORKER,SENIOR CASE WORKER  ,2
SENIOR CASEWORKER (OVERTIME),SENIOR CASEWORKER   ,2
SENIOR CASEWORKER AND SCHEDULER,SENIOR CASEWORKER/SCHEDULER  ,2
SENIOR CITIZEN LIAISON,SENIOR CITIZEN LIAISON  ,2
SENIOR COMMUNICATIONS SPEC,SENIOR COMMUNICATIONS SPECIALIST  ,2
SENIOR COMPUTER SPECIALIST,SENIOR COMPUTER SPECIALIST  ,2
SENIOR CONGRESSIONAL AIDE,SENIOR CONGRESSIONAL AIDE  ,2
SENIOR CONSTITUENT LIAISON,SENIOR CONSTITUENT LIAISON  ,2
SENIOR CONTRACT ADMINISTRATOR,SENIOR CONTRACT ADMINISTRATOR  ,2
SENIOR COORDINATOR,SENIOR COORDINATOR  ,2
SENIOR COUNSEL (OTHER COMPENSATION),SENIOR COUNSEL   ,2
SENIOR COUNSEL TO THE SPEAKER,SENIOR COUNSEL TO THE SPEAKER  ,2
SENIOR DISTRICT AIDE,SENIOR DISTRICT AIDE  ,2
SENIOR DISTRICT CASEWORKER,SENIOR DISTRICT CASEWORKER  ,2
SENIOR EDUCATION POLICY ADVISO,SENIOR EDUCATION POLICY ADVISOR  ,2
SENIOR ELECTIONS COUNSEL,SENIOR ELECTIONS COUNSEL  ,2
SENIOR FIELD REP AND GRANTS COORDI,SENIOR FIELD DIRECTOR REPRESENTATIVE/GRANTS COORDINATOR  ,2
SENIOR HARDWARE ENGINEER,SENIOR HARDWARE ENGINEER  ,2
SENIOR HEALTH AND POLICY ADVISOR,SENIOR HEALTH/POLICY ADVISOR  ,2
SENIOR INFORMATION LIASON,SENIOR INFORMATION LIASON  ,2
SENIOR LEGISLATIVE ASSOCIATE,SENIOR LEGISLATIVE ASSOCIATE  ,2
SENIOR NETWORK TECHNICIAN (A),SENIOR NETWORK TECHNICIAN   ,2
SENIOR PHOTOGRAPHER,SENIOR PHOTOGRAPHER  ,2
SENIOR PHOTOGRAPHER (OVERTIME),SENIOR PHOTOGRAPHER   ,2
SENIOR POLICY ADVISOR(C),SENIOR POLICY ADVISOR  ,2
SENIOR POLICY ADVISOR-MAJORITY,SENIOR POLICY ADVISOR-MAJORITY  ,2
